"price","bathrooms","sqft_living","floors","waterfront","condition","grade","zipcode","lat","long","age","renovated","basement_percent","living_percent","categoria_quartos"
3e+05,3,2400,2,0,3,7,98002,47.3262,-122.214,24,0,0,0.256054624986664,">5"
647500,1.75,2060,1,0,4,8,98166,47.4444,-122.351,67,0,0.436893203883495,0.0791212167767706,"4"
4e+05,1,1460,1,0,3,7,98166,47.4434,-122.347,62,0,0,0.033953488372093,"3"
235000,1,1430,1.5,0,4,6,98168,47.4783,-122.265,85,0,0.293706293706294,0.188182655612581,"3"
402500,2,1650,1,0,3,7,98144,47.5803,-122.294,64,1,0.539393939393939,0.470890410958904,"4"
680000,2.75,2220,1,0,5,7,98144,47.5801,-122.294,64,0,0.472972972972973,0.418079096045198,"4"
178000,1.5,1990,1,0,3,7,98178,47.4938,-122.262,55,0,0,0.109340659340659,"5"
487000,2.5,2540,2,0,3,9,98108,47.5423,-122.302,9,0,0,0.507898420315937,"4"
281000,1,1340,1.5,0,4,5,98032,47.4023,-122.273,69,0,0,0.0628046494188226,"3"
239000,2,1980,1.5,0,2,6,98055,47.4836,-122.214,90,0,0,0.18705715635333,"4"
175000,1,840,1,0,3,6,98055,47.484,-122.211,90,0,0,0.0658823529411765,"2"
299800,1,790,1,0,4,6,98118,47.5303,-122.288,89,0,0,0.150763358778626,"2"
520000,2,1410,2,0,4,7,98122,47.6029,-122.302,112,0,0,0.522222222222222,"3"
465000,2.25,1530,2,0,3,9,98122,47.6018,-122.297,0,0,0.313725490196078,1.2289156626506,"3"
630000,1,3020,2,0,3,7,98122,47.6025,-122.313,113,0,0,0.629166666666667,"5"
411000,2,1130,2,0,3,9,98122,47.6023,-122.314,7,0,0.292035398230089,0.984320557491289,"2"
496000,1,1420,2,0,4,7,98115,47.68,-122.304,73,1,0,0.306364617044229,"2"
570000,2.5,1530,2,0,3,8,98007,47.6181,-122.138,16,0,0,0.464199029126214,"3"
546000,2.5,1530,2,0,3,8,98007,47.6179,-122.141,16,0,0,0.441685912240185,"3"
617000,2.5,1910,2,0,3,8,98007,47.6176,-122.14,16,0,0,0.425579322638146,"3"
635000,2.5,3350,2,0,3,8,98034,47.7277,-122.207,9,0,0.238805970149254,0.836036935363115,"3"
872750,2.5,2870,2,0,3,10,98052,47.6944,-122.102,24,0,0,0.20956553486674,"3"
843000,2.5,3130,2,0,3,10,98052,47.6954,-122.103,24,0,0,0.357714285714286,"3"
837700,2.75,3010,2,0,3,10,98052,47.696,-122.102,20,0,0,0.23868051700896,"5"
715000,3.25,3060,2,0,3,10,98052,47.6971,-122.101,20,0,0.196078431372549,0.337934842628382,"3"
795000,3.5,3190,2,0,3,10,98052,47.6968,-122.102,20,0,0.197492163009404,0.312041475105155,"3"
835000,2.75,3130,2,0,3,9,98052,47.6993,-122.102,21,0,0.31629392971246,0.233373098717566,"4"
755000,2.5,2660,2,0,3,9,98052,47.6972,-122.104,21,0,0,0.25449674703406,"4"
640000,2.5,2341,2,0,3,9,98052,47.6993,-122.115,17,0,0,0.244006670835939,"4"
750000,2.5,3020,2,0,3,9,98052,47.6989,-122.111,17,0,0.158940397350993,0.230147843316568,"4"
738000,2.5,2620,2,0,3,9,98052,47.6972,-122.116,19,0,0,0.287532923617208,"3"
810000,2.75,3010,2,0,3,9,98052,47.6979,-122.112,18,0,0,0.288038277511962,"4"
254000,2.5,1850,2,0,3,8,98042,47.3755,-122.136,11,0,0,0.402436371546661,"3"
130000,1,1100,1,0,4,7,98108,47.5231,-122.332,102,0,0,0.215686274509804,"3"
319500,2.75,2500,1.5,0,4,7,98108,47.523,-122.332,107,0,0.432,0.490196078431373,"4"
207000,2.5,1520,2,0,3,7,98108,47.5245,-122.33,9,0,0,0.596078431372549,"3"
205000,1.75,1740,1,0,3,6,98108,47.5211,-122.33,100,0,0.666666666666667,0.341176470588235,"2"
295000,1.5,1640,2,0,4,7,98108,47.5215,-122.33,106,0,0,0.227083910274162,"3"
219950,1.5,1070,1,0,3,6,98002,47.3115,-122.209,30,0,0,0.162096652022421,"3"
250000,2.25,1640,2,0,4,7,98002,47.311,-122.21,96,1,0,0.3710407239819,"3"
189000,1,1200,1,0,4,7,98002,47.3089,-122.21,93,0,0,0.121827411167513,"2"
218500,1,1600,1,0,4,7,98002,47.3098,-122.21,66,0,0.13125,0.178551500948555,"2"
250000,1,1320,1,0,5,6,98002,47.3098,-122.209,101,0,0,0.117731002497324,"4"
570000,2.25,2010,1,0,3,8,98052,47.6912,-122.115,39,0,0.338308457711443,0.335,"3"
515000,2.25,2470,1,0,3,8,98052,47.6913,-122.115,39,0,0.404858299595142,0.316666666666667,"4"
550120,2.5,2620,1,0,3,8,98052,47.6919,-122.115,39,0,0.419847328244275,0.325465838509317,"5"
490000,1.75,1470,1,0,4,7,98052,47.6975,-122.12,37,0,0,0.150769230769231,"3"
539000,1.75,1790,1,0,4,7,98052,47.6989,-122.12,36,0,0.212290502793296,0.181541582150101,"3"
1490000,3.5,3620,2,0,3,10,98040,47.5738,-122.215,56,1,0.229281767955801,0.462856412223501,"5"
1038000,2.75,3050,1,0,4,8,98040,47.5709,-122.214,59,0,0.459016393442623,0.342542677448338,"5"
343566,1,1100,1,0,3,7,98136,47.5312,-122.392,60,0,0,0.261904761904762,"2"
590000,2,3030,1,0,4,7,98136,47.5289,-122.391,55,0,0.306930693069307,0.323234478344357,"3"
480000,2.25,2240,1,0,3,7,98136,47.5305,-122.391,56,0,0.334821428571429,0.407272727272727,"5"
573300,1.75,1290,1,0,3,7,98136,47.531,-122.39,64,0,0.325581395348837,0.195454545454545,"2"
699950,3.25,2230,1,0,4,8,98136,47.53,-122.388,38,0,0.358744394618834,0.408424908424908,"3"
446450,1.5,1480,1,0,5,7,98126,47.5144,-122.379,54,0,0,0.190992386114337,"3"
325000,1,1130,1,0,4,7,98146,47.5141,-122.377,60,0,0,0.222879684418146,"2"
221900,1,780,1,0,3,6,98168,47.4733,-122.281,75,0,0,0.115950646647837,"2"
380000,2.5,2130,2,0,3,7,98168,47.4726,-122.282,2,0,0,0.252728998576175,"5"
78000,1,780,1,0,1,5,98168,47.4739,-122.28,72,0,0,0.0477239353891336,"2"
170000,1,1500,1,0,3,8,98168,47.4727,-122.281,64,0,0,0.0809061488673139,"2"
250000,1,1400,1.5,0,3,6,98168,47.4724,-122.271,86,0,0.214285714285714,0.0715380684721512,"2"
499950,2.5,2910,2,0,3,9,98168,47.4714,-122.273,14,0,0,0.145014202421887,"4"
250000,1,1110,1,0,3,6,98168,47.4711,-122.291,63,0,0,0.0426087290315151,"2"
130000,1,880,1,0,3,5,98188,47.4672,-122.291,86,0,0,0.0977777777777778,"2"
235000,1,1500,1.5,0,5,6,98168,47.4702,-122.281,48,0,0,0.161603102779573,"5"
355000,1,1450,1,0,4,7,98188,47.4689,-122.277,50,0,0,0.158469945355191,"2"
406500,1.5,1970,1,0,3,7,98168,47.4703,-122.276,49,0,0,0.195436507936508,"3"
6e+05,4.5,4440,2,0,3,10,98168,47.4702,-122.275,2,0,0,0.453802125919869,"5"
171000,2,1520,1,0,3,6,98188,47.4683,-122.281,94,0,0.328947368421053,0.0772671817812119,"4"
1505000,3,3300,1,0,3,9,98040,47.5673,-122.21,58,1,0.433333333333333,0.0985839756228715,"5"
1730000,3.5,5000,2,0,3,10,98040,47.5665,-122.21,6,0,0.318,0.188394875659382,"5"
2027000,3.75,4100,1.5,0,5,11,98040,47.5648,-122.21,80,1,0.380487804878049,0.179840336871655,"4"
350000,1.75,1430,1,0,3,7,98146,47.5088,-122.371,32,0,0,0.180532761015023,"2"
372000,1.5,1780,1.5,0,4,7,98059,47.5142,-122.163,52,0,0,0.224917867071013,"4"
398950,3,3000,2,0,3,8,98042,47.3684,-122.073,11,0,0,0.291346994270176,"4"
